#CATEGORY_ID,#CATEGORY_NAME,#QUANTITY
1,熟女 (Ripe Woman),2
2,メインライン,4
3,両サイドから乳首責め,2
4,お姫様 (Princess),2
5,100円おかず,1
6,ドスケベJKシリーズ,3
7,チンカス汚ちんぽシリーズ,9
8,癒しの学園ヒロイン,9
9,プレミアムフォーリーシリーズ,24
10,あまあま風俗,5
11,春を捧げる少女たち (Girls Dedicating Spring),2
12,全編ゆるオホ,8
13,義理あね。,2
14,インモラル少女♪,3
15,200円おかず,3
16,ドライオーガズム,1
17,調教○リ魔法少女,1
18,えちえちファンタジー,5
19,甘園房シリーズ,2
20,耳舐めコンシェルジュ,2
21,ハロウィン,2
22,痴女ヒロイン,2
23,女子校生,1
24,Haitatsuin Ni Saimin,3
25,#秒ヌキ♪ショート同人,4
26,Oma*ko Gakuen,2
27,ブラックファンタジー,7
28,彼女シリーズ,1
29,PlatonicAngels洗脳プロジェクト (PlatonicAngels Brainwashing Project),7
30,義務射精クリニック,3
31,ビジネスワイフ制度 (Business wife system),5
32,働く女性,3
33,#即ヌキR18ボイス♪,1
34,堕ちメイド・執事,2
35,ライト向けNTRシリーズ,2
36,あまあま全肯定,3
37,たっぷり催眠,2
38,声優完全プロデュース！極上わからせ体験シリーズ,4
39,5つの物語 (The Five X’mas Stories),1
40,即ヌキ！,4
41,Lover’s Hand ASMR,5
42,史実に基づく作品,2
43,生意気ナツキ,1
44,寝取られ報告,1
45,素股チャレンジ,2
46,サキュバスシリーズ,1
47,非言語愛歓シリーズ,2
48,いちゃらぶASMR,1
49,NTR,2
50,オホ声チン媚びシリーズ,2
51,ドスケベご奉仕メイド,1
52,ヒミツのハイシン,1
53,あなたも出来る!実践,2
54,乳首トランス,1
55,ボイスオンリーストーリーシリーズ,1
56,ドスケベお姉さん,2
57,お仕事図鑑,1
58,生意気ヒロイン,1
59,大好きなお義父さんの婚活を知った娘に、四六時中ヤキモチえっちされる。,1
60,新妻性活,3
61,巨乳美ママシリーズ,2
62,ゾンビ・オブ・ザ・デッド,1
63,JK風俗シリーズ,1
64,たっぷり催○,1
65,乳首責め委員会,2
66,コスプレイヤーオフパコ６部作,2
67,オナホ擬人化シリーズ,1
68,異世界・ファンタジー,4
69,おま◯こ純愛ご奉仕,2
70,フタナリ作品,1
71,ちくびづくし,2
72,ラブホでデリヘル呼んだら…シリーズ,1
73,援助交際,1
74,ＬｏｖｅＷｈｉｓｐｅｒ【はは】,1
75,現代・ファンタジー無し,1
76,サキュバスエッチシリーズ,1
77,即ヌキシリーズ！,1
78,孕み巫女,3
79,天国地獄,2
80,媚び媚び男の娘妖怪,2
81,誘惑シリーズ,1
82,童貞を●すシリーズ,1
83,ブル●カJKリフレ,1
84,お姫様,1
85,オナホ従者,2
86,お仕置きエッチシリーズ,1
87,乳首に響く低音ボイス,1
88,バイノーラルNTR報告シリーズ,1
89,妊活マッチング,1
90,人妻熟女ものボイスドラマ,4
91,ドスケベオナホまんこ,1
92,ご奉仕,2
93,ナースの秘密,2
94,JKサキュバスレイヤー,2
95,チンカス大好き♪シリーズ,1
96,いいなり不倫温泉,1
97,女子高生,1
98,下品でだらしない清水家,1
99,人妻オイル,1
100,マゾ治療シリーズ,1
101,テーコーキーツ,1
102,アイドル妊娠法,1
103,男の娘にフェラチオしたい,1
104,万華学園シリーズ,1
105,ちんぽこたてたて,1
106,実用性シリーズ,1
107,母娘喰ヒ,1
108,生ゲップシリーズ,1
109,妹から愛でられる,1
