#TRACK_CODE,#RJ-CODE,#CV_IDS,#TAG_IDS,#SERIES_IDS,#ENG-NAME,#JAP-NAME,#THUMBNAIL,#IMAGES,#AUDIOS,#ADDITIONAL_URLS
19178,RJ276886,"1","1-2-3-4","1","Ripe Woman 12: Another Friend’s Mother","熟れた女12:友だちのお母さん 2人目","1->19178(0)","","2->19178t1",""
51602,RJ332705,"2","5-6-2-7-8","","While You Sleep, You Tsundere Visits You in Bed","寝ている間にツンデレ彼女に夜這いされちゃう音声_英語版","1->51602(0)","1->51602(1),1->51602(2)","2->51602t1",""
48817,RJ319007,"2","1-9","","Pure Love Pussy Therapy ~ A Pussy Therapist Will Relieve That Unfulfilled Feeling ♪~","純愛おまんこセラピー ～その満たされなさ、おまんこセラピストが解消します♪～","1->48817(0)","1->48817(1).jpg,1->48817(2).jpeg","2->48817t1",""
75923,RJ01024994,"3","10-5-1-6-9-11-12-13-14-15-16","","Downer Menhera JK and Oho Voice Addict’s Depraved Life Together","【3月12日までドスケベ特典付き】ダウナー系メンヘラJKとオホ声依存共堕落生活","1->75923(0)","1->75923(1).jpg,1->75923(2).jpg,3->75923-1-large.jpg,3->75923-2-large.jpg","2->75923t1.mp3",""
56829,RJ223101,"2","2-17-12-13-18","","Blonde’s Angel Temptation～","金髪天使の誘惑～","1->56829(0)","1->56829(1).jpg,1->56829(2).jpg","2->56829t1.mp3",""
78568,RJ01051259,"2","19-20-21","2","Gravure Idol vs Hero ~ Controlled Masturbation, Tantalizing Nipple Play, and Breast Fucking with Explosive Titjob Cumshots to Make You Their Obedient Slave~","グラドルvsヒーロー～操られオナニー・カリカリ乳首責め・爆乳パイズリ乳内射精攻撃で言いなり奴隷～","1->78568(0).jpg","1->78568(1),1->78568(2).jpg","2->78568t1.mp3",""
51046,RJ332593,"4-5","22-21-23-24","3","Audio of Tennis Club Girls Teasing Both Nipples from Both Sides to Develop a Habit of Losing in Climax from Defeat","テニス部の女の子達に両サイドから乳首を責められて、敗北絶頂の負け癖をつけられる音声","1->51046(0)","1->d1c50823-ab58-4042-a9c9-d09c3ac8f1a0.image.png,4->51046-2.mp4","1->%E3%83%86%E3%83%8B%E3%82%B9%E9%83%A8%E3%81%AE%E5%A5%B3%E3%81%AE%E5%AD%90%E9%81%94%E3%81%AB%E4%B8%A1%E3%82%B5%E3%82%A4%E3%83%89%E3%81%8B%E3%82%89%E4%B9%B3%E9%A6%96%E3%82%92%E8%B2%AC%E3%82%81%E3%82%89%E3%82%8C%E3%81%A6%E3%80%81%E6%95%97%E5%8C%97%E7%B5%B6%E9%A0%82%E3%81%AE%E8%B2%A0%E3%81%91%E7%99%96%E3%82%92%E3%81%A4%E3%81%91%E3%82%89%E3%82%8C%E3%82%8B%E9%9F%B3%E5%A3%B0%20%E2%80%93%20Japanese%20ASMR_2_128k.mp3",""
78560,RJ01047483,"6","19-1-25-6-26-27-28-29-30-31","","In the futon soaked in the thick female smell of a vulgar downer succubus, super close contact and thick voice sex","下品なダウナーサキュバスの濃厚なメス臭が染み込んだ布団の中で超密着濃厚オホ声えっち","1->78560(0)","1->78560","2->%E4%B8%8B%E5%93%81%E3%81%AA%E3%83%80%E3%82%A6%E3%83%8A%E3%83%BC%E3%82%B5%E3%82%AD%E3%83%A5%E3%83%90%E3%82%B9%E3%81%AE%E6%BF%83%E5%8E%9A%E3%81%AA%E3%83%A1%E3%82%B9%E8%87%AD%E3%81%8C%E6%9F%93%E3%81%BF%E8%BE%BC%E3%82%93%E3%81%A0%E5%B8%83%E5%9B%A3%E3%81%AE%E4%B8%AD%E3%81%A7%E8%B6%85%E5%AF%86%E7%9D%80%E6%BF%83%E5%8E%9A%E3%82%AA%E3%83%9B%E5%A3%B0%E3%81%88%E3%81%A3%E3%81%A1%20%E2%80%93%20Japanese%20ASMR_1_128k.mp3",""
67197,RJ388694,"7","1-32-6-9-27-33-14-29-30-31","","Lovey-dovey sex with a lewd senior girlfriend ~I’ll suck your semen, chuchu drain~","淫魔な先輩彼女とイチャラブセックス～君の精液吸うよチュウチュウドレイン～","1->67197(0)","1->67197","2->%E6%B7%AB%E9%AD%94%E3%81%AA%E5%85%88%E8%BC%A9%E5%BD%BC%E5%A5%B3%E3%81%A8%E3%82%A4%E3%83%81%E3%83%A3%E3%83%A9%E3%83%96%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9%EF%BD%9E%E5%90%9B%E3%81%AE%E7%B2%BE%E6%B6%B2%E5%90%B8%E3%81%86%E3%82%88%E3%83%81%E3%83%A5%E3%82%A6%E3%83%81%E3%83%A5%E3%82%A6%E3%83%89%E3%83%AC%E3%82%A4%E3%83%B3%EF%BD%9E%20%E2%80%93%20Japanese%20ASMR_1_128k.mp3",""
35998,RJ306372,"8","34-1-9-12","","Crazed Gal’s 0 Yen Pussy","メンヘラギャルの0円おまんことの性活【フォーリーサウンド】","1->35998(0)","1->35998","2->Crazed%20Gal%E2%80%99s%200%20Yen%20Pussy%20(Foley%20Sound)%20%E2%80%93%20Japanese%20ASMR.mp3",""
75549,RJ01013493,"9-8","19-1-32-6-9-27-33-13-35","","Tomboyish girl and Gal girl are too familiar with each other!","ボーイッシュ女とギャル女が馴れ馴れしいっ!【マゾ系おねショタのドスケベ性行為】","1->75549(0)","1->75549","2->%E3%83%9C%E3%83%BC%E3%82%A4%E3%83%83%E3%82%B7%E3%83%A5%E5%A5%B3%E3%81%A8%E3%82%AE%E3%83%A3%E3%83%AB%E5%A5%B3%E3%81%8C%E9%A6%B4%E3%82%8C%E9%A6%B4%E3%82%8C%E3%81%97%E3%81%84%E3%81%A3!%E3%80%90%E3%83%9E%E3%82%BE%E7%B3%BB%E3%81%8A%E3%81%AD%E3%82%B7%E3%83%A7%E3%82%BF%E3%81%AE%E3%83%89%E3%82%B9%E3%82%B1%E3%83%99%E6%80%A7%E8%A1%8C%E7%82%BA%E3%80%91%20%E2%80%93%20Japanese%20ASMR.mp3",""
