[07/03/2026 - 14:44:59] Start processing (attempt 1)
[07/03/2026 - 14:45:02] File selected
[07/03/2026 - 14:45:03] Uploaded part: 1
[07/03/2026 - 14:45:03] Uploaded part: 5
[07/03/2026 - 14:45:03] Uploaded part: 2
[07/03/2026 - 14:45:03] Uploaded part: 3
[07/03/2026 - 14:45:04] Uploaded part: 4
[07/03/2026 - 14:45:04] Uploaded part: 1
[07/03/2026 - 14:45:04] Uploaded part: 5
[07/03/2026 - 14:45:04] Uploaded part: 2
[07/03/2026 - 14:45:05] Uploaded part: 3
[07/03/2026 - 14:45:05] Uploaded part: 4
[07/03/2026 - 14:45:05] Uploaded part: 6
[07/03/2026 - 14:45:06] Uploaded part: 7
[07/03/2026 - 14:45:06] Uploaded part: 8
[07/03/2026 - 14:45:06] Uploaded part: 9
[07/03/2026 - 14:45:06] Uploaded part: 6
[07/03/2026 - 14:45:06] Uploaded part: 10
[07/03/2026 - 14:45:06] Uploaded part: 7
[07/03/2026 - 14:45:06] Uploaded part: 8
[07/03/2026 - 14:45:06] Uploaded part: 9
[07/03/2026 - 14:45:07] Uploaded part: 10
[07/03/2026 - 14:45:07] Uploaded part: 11
[07/03/2026 - 14:45:07] Uploaded part: 12
[07/03/2026 - 14:45:07] Uploaded part: 13
[07/03/2026 - 14:45:07] Uploaded part: 14
[07/03/2026 - 14:45:08] Uploaded part: 11
[07/03/2026 - 14:45:08] Uploaded part: 15
[07/03/2026 - 14:45:08] Uploaded part: 12
[07/03/2026 - 14:45:09] Uploaded part: 14
[07/03/2026 - 14:45:09] Uploaded part: 13
[07/03/2026 - 14:45:09] Uploaded part: 16
[07/03/2026 - 14:45:09] Uploaded part: 15
[07/03/2026 - 14:45:09] Uploaded part: 17
[07/03/2026 - 14:45:09] Uploaded part: 18
[07/03/2026 - 14:45:09] Uploaded part: 16
[07/03/2026 - 14:45:09] Uploaded part: 19
[07/03/2026 - 14:45:10] Uploaded part: 17
[07/03/2026 - 14:45:10] Uploaded part: 20
[07/03/2026 - 14:45:10] Uploaded part: 18
[07/03/2026 - 14:45:10] Uploaded part: 19
[07/03/2026 - 14:45:10] Uploaded part: 21
[07/03/2026 - 14:45:10] Uploaded part: 20
[07/03/2026 - 14:45:11] Uploaded part: 22
[07/03/2026 - 14:45:11] Uploaded part: 23
[07/03/2026 - 14:45:11] Uploaded part: 21
[07/03/2026 - 14:45:11] Uploaded part: 24
[07/03/2026 - 14:45:11] Uploaded part: 22
[07/03/2026 - 14:45:11] Uploaded part: 23
[07/03/2026 - 14:45:11] Uploaded part: 25
[07/03/2026 - 14:45:11] Uploaded part: 26
[07/03/2026 - 14:45:12] Uploaded part: 24
[07/03/2026 - 14:45:12] Uploaded part: 25
[07/03/2026 - 14:45:12] Uploaded part: 28
[07/03/2026 - 14:45:12] Uploaded part: 27
[07/03/2026 - 14:45:12] Uploaded part: 26
[07/03/2026 - 14:45:12] Uploaded part: 28
[07/03/2026 - 14:45:12] Uploaded part: 27
[07/03/2026 - 14:45:13] Uploaded part: 30
[07/03/2026 - 14:45:13] Uploaded part: 29
[07/03/2026 - 14:45:13] Uploaded part: 31
[07/03/2026 - 14:45:13] Uploaded part: 32
[07/03/2026 - 14:45:13] Uploaded part: 29
[07/03/2026 - 14:45:14] Uploaded part: 30
[07/03/2026 - 14:45:14] Uploaded part: 33
[07/03/2026 - 14:45:14] Uploaded part: 31
[07/03/2026 - 14:45:14] Uploaded part: 32
[07/03/2026 - 14:45:15] Uploaded part: 33
[07/03/2026 - 14:45:15] Uploaded part: 34
[07/03/2026 - 14:45:15] Uploaded part: 35
[07/03/2026 - 14:45:15] Uploaded part: 36
[07/03/2026 - 14:45:15] Uploaded part: 34
[07/03/2026 - 14:45:15] Uploaded part: 37
[07/03/2026 - 14:45:15] Uploaded part: 35
[07/03/2026 - 14:45:16] Uploaded part: 38
[07/03/2026 - 14:45:16] Uploaded part: 36
[07/03/2026 - 14:45:16] Uploaded part: 37
[07/03/2026 - 14:45:16] Uploaded part: 38
[07/03/2026 - 14:45:16] Uploaded part: 39
[07/03/2026 - 14:45:16] Uploaded part: 40
[07/03/2026 - 14:45:17] Uploaded part: 41
[07/03/2026 - 14:45:17] Uploaded part: 42
