#CATEGORY_ID,#CATEGORY_NAME,#QUANTITY
1,熟女,1
2,メインライン,4
3,両サイドから乳首責め,2
4,イチャラブシリーズ,1
5,プレミアムフォーリーシリーズ,20
6,二人の義妹,1
7,あだると放送局,1
8,お姫様,3
9,100円おかず,1
10,ドスケベJKシリーズ,3
11,青春純愛妄想系,1
12,チンカス汚ちんぽシリーズ,6
13,催○おまんこコレクション,1
14,癒しの学園ヒロイン,9
15,あまあま風俗,4
16,春を捧げる少女たち,2
17,全編ゆるオホ,9
18,サキュバスママシリーズ,1
19,男の娘/男の娘化シリーズ,1
20,インモラル少女♪,2
21,200円おかず,3
22,調教○リ魔法少女,1
23,えちえちファンタジー,3
24,甘園房シリーズ,2
25,耳舐めコンシェルジュ,2
26,ハロウィン,2
27,痴女ヒロイン,2
28,女子校生,1
29,Haitatsuin Ni Saimin,3
30,#秒ヌキ♪ショート同人,3
31,Oma*ko Gakuen,2
32,ブラックファンタジー,7
33,彼女シリーズ,1
34,PlatonicAngels洗脳プロジェクト,7
35,義務射精クリニック,1
36,ビジネスワイフ制度,5
37,働く女性,3
38,#即ヌキR18ボイス♪,1
39,堕ちメイド・執事,2
40,あまあま全肯定,3
41,たっぷり催眠,2
42,声優完全プロデュース！極上わからせ体験シリーズ,3
43,5つの物語,1
44,即ヌキ！,3
45,Lover's Hand ASMR,4
46,史実に基づく作品,2
47,生意気ナツキ,1
48,寝取られ報告,1
49,素股チャレンジ,2
50,サキュバスシリーズ,1
51,非言語愛歓シリーズ,2
52,いちゃらぶASMR,1
53,NTR,2
54,オホ声チン媚びシリーズ,2
55,ドスケベご奉仕メイド,1
56,ヒミツのハイシン,1
57,あなたも出来る!実践,2
58,乳首トランス,1
59,ドスケベお姉さん,2
60,お仕事図鑑,1
61,生意気ヒロイン,1
62,新妻性活,3
63,巨乳美ママシリーズ,2
64,乳首責め委員会,2
65,コスプレイヤーオフパコ６部作,2
66,オナホ擬人化シリーズ,1
67,おま◯こ純愛ご奉仕,2
68,異世界・ファンタジー,2
69,援助交際,1
70,ＬｏｖｅＷｈｉｓｐｅｒ【はは】,3
71,現代・ファンタジー無し,1
72,サキュバスエッチシリーズ,1
73,孕み巫女,5
74,天国地獄,4
75,媚び媚び男の娘妖怪,2
76,誘惑シリーズ,3
77,童貞を●すシリーズ,1
78,ブル●カJKリフレ,1
79,オナホ従者,2
80,乳首に響く低音ボイス,1
81,バイノーラルNTR報告シリーズ,1
82,妊活マッチング,1
83,人妻熟女ものボイスドラマ,4
84,ご奉仕,2
85,JKサキュバスレイヤー,2
86,チンカス大好き♪シリーズ,1
87,いいなり不倫温泉,1
88,下品でだらしない清水家,2
89,人妻オイル,1
90,マゾ治療シリーズ,1
91,テーコーキーツ,1
92,アイドル妊娠法,1
93,万華学園シリーズ,1
94,ちんぽこたてたて,1
95,実用性シリーズ,1
96,母娘喰ヒ,1
97,生ゲップシリーズ,1
98,妹から愛でられる,1
99,あまあまWメイド姉妹コンビ,1
100,高密着W匂い嗅ぎ♡だらだら発情汗だくえっち生活♪,1
101,お口の音フェチASMR,2
102,AV女優ママ,1
103,あまあまヒロイン,1
104,おま〇こチアーズ！,1
105,ＬｏｖｅＷｈｉｓｐｅｒ【いもうと】,1
106,背徳のお母さん・ママ作品,2
107,成人向け音声作品,1
108,ＬｏｖｅＷｈｉｓｐｅｒ【むすめ】,2
109,ローションロッカー部シリーズ,2
110,Elf Hime Wife,2
111,贅沢ドスケベメイド,1
112,ド田舎のお姉さん,1
113,【音声作品】バイノーラル録音リアル体験,1
114,口癖シリーズ,1
